serial_no,event_id,event_name,event_type,event_theme,event_description,start_datetime,end_datetime,timezone,delivery_mode,location_venue,location_city,location_state,location_country,organizer_unit,organizer_contact_email,capacity,rsvp_required,registrations_count,attendees_count,feedback_score_avg
829,e6be7379-0d2e-4c23-90f3-7a0f6328f26b,Panel 0829 • Resume & Interview Mastery,Panel,Resume & Interview Mastery,Join us for a panel on Resume & Interview Mastery.,12/21/2026 18:00,12/21/2026 20:00,America/New_York,Virtual,Virtual Stage,Online,NA,USA,Chaifetz School of Business,chaifetz-events@slu.edu,243,1,127,114,3.92
830,fc7ac24d-b574-46ea-91b2-0e3c2d8b9b38,Workshop 0830 • Entrepreneurship,Workshop,Entrepreneurship,Join us for a workshop on Entrepreneurship.,10/10/2021 18:00,10/11/2021 00:00,America/Los_Angeles,In-person,Chaifetz Arena,St. Louis,MO,USA,Data Science Institute,dsi@slu.edu,146,1,111,78,3.72
831,36982657-d0c1-472c-8e4d-804dccdc520b,Panel 0831 • Consulting Case Prep,Panel,Consulting Case Prep,Join us for a panel on Consulting Case Prep.,02/18/2023 18:00,02/19/2023 00:00,America/Los_Angeles,Hybrid,Alumni Center,Boston,MA,USA,Alumni Office,alumni@slu.edu,93,1,43,43,4.74
832,c06200ff-13c8-407d-a3d9-5e65036d25e0,Career Fair 0832 • Tech for Good,Career Fair,Tech for Good,Join us for a career fair on Tech for Good.,01/27/2020 18:00,01/27/2020 19:00,America/Chicago,Virtual,Career Services Hall,Chicago,IL,USA,Alumni Office,alumni@slu.edu,1260,1,879,699,3.88
833,79fc9706-3b63-4f76-a4f0-08b0b945b0d6,Career Fair 0833 • Entrepreneurship,Career Fair,Entrepreneurship,Join us for a career fair on Entrepreneurship.,05/05/2025 10:00,05/05/2025 16:00,America/Chicago,Virtual,Virtual Stage,Online,NA,USA,Chaifetz School of Business,chaifetz-events@slu.edu,670,0,566,469,4.62
834,17a7e347-bde6-4f07-9f55-6629ecb99849,Webinar 0834 • Graduate School Pathways,Webinar,Graduate School Pathways,Join us for a webinar on Graduate School Pathways.,07/07/2020 14:00,07/07/2020 16:00,America/New_York,Hybrid,Career Services Hall,Chicago,IL,USA,Career Services,careerservices@slu.edu,264,1,165,152,4.85
835,597d1921-d525-40ef-84b8-5eadafc2094b,Workshop 0835 • Networking with Employers,Workshop,Networking with Employers,Join us for a workshop on Networking with Employers.,03/27/2021 14:00,03/27/2021 16:00,America/Los_Angeles,In-person,Tech Innovation Lab,Austin,TX,USA,Career Services,careerservices@slu.edu,82,1,42,27,4.88
836,889f04c2-463a-46f2-b433-f9a4a08b0735,Panel 0836 • Cloud & DevOps Pathways,Panel,Cloud & DevOps Pathways,Join us for a panel on Cloud & DevOps Pathways.,06/27/2026 14:00,06/27/2026 18:00,America/Los_Angeles,Hybrid,Career Services Hall,Chicago,IL,USA,Career Services,careerservices@slu.edu,213,1,106,86,4.05
837,efbd65c7-8f5f-48b4-92f8-dad14ff92dd3,Hackathon 0837 • Product & Project Management,Hackathon,Product & Project Management,Join us for a hackathon on Product & Project Management.,05/17/2026 18:00,05/17/2026 22:00,America/Los_Angeles,Hybrid,Chaifetz Arena,St. Louis,MO,USA,Chaifetz School of Business,chaifetz-events@slu.edu,362,1,313,251,3.79
838,84ac06f6-3595-4200-a536-c1ef62fea58d,Networking Night 0838 • Tech for Good,Networking Night,Tech for Good,Join us for a networking night on Tech for Good.,07/11/2021 18:00,07/12/2021 00:00,America/Chicago,Virtual,Virtual Stage,Online,NA,USA,Cybersecurity Center,cybercenter@slu.edu,182,1,95,85,3.93
839,ea22ea3c-ad13-48aa-9779-3f9bb2826bd0,Webinar 0839 • Resume & Interview Mastery,Webinar,Resume & Interview Mastery,Join us for a webinar on Resume & Interview Mastery.,03/17/2021 10:00,03/17/2021 14:00,America/New_York,Virtual,Data Science Hub,Seattle,WA,USA,Alumni Office,alumni@slu.edu,299,1,236,228,3.78
840,38140137-928b-4d8a-a9cb-ad1d835a4260,Guest Lecture 0840 • Graduate School Pathways,Guest Lecture,Graduate School Pathways,Join us for a guest lecture on Graduate School Pathways.,10/15/2022 18:00,10/15/2022 19:00,America/Chicago,Hybrid,Career Services Hall,Chicago,IL,USA,Cybersecurity Center,cybercenter@slu.edu,152,1,85,66,4.44
841,4629f876-a0ab-4bca-a664-6477d4220180,Webinar 0841 • Cybersecurity Trends,Webinar,Cybersecurity Trends,Join us for a webinar on Cybersecurity Trends.,04/16/2021 18:00,04/16/2021 19:00,America/New_York,In-person,Career Services Hall,Chicago,IL,USA,Data Science Institute,dsi@slu.edu,761,1,641,594,4.03
842,59694f4f-6318-48a9-9ddb-4d573c9682d7,Career Fair 0842 • Tech for Good,Career Fair,Tech for Good,Join us for a career fair on Tech for Good.,09/29/2022 18:00,09/29/2022 19:00,America/Chicago,Hybrid,Chaifetz Arena,St. Louis,MO,USA,Alumni Office,alumni@slu.edu,1322,0,1023,705,4.85
843,a64272ab-f3d7-416f-9851-748c39c711d6,Hackathon 0843 • Resume & Interview Mastery,Hackathon,Resume & Interview Mastery,Join us for a hackathon on Resume & Interview Mastery.,06/22/2022 10:00,06/22/2022 12:00,America/Los_Angeles,Virtual,Career Services Hall,Chicago,IL,USA,Career Services,careerservices@slu.edu,312,1,253,152,4.46
844,84463163-16cb-43fd-b75f-daabce99d818,Networking Night 0844 • Tech for Good,Networking Night,Tech for Good,Join us for a networking night on Tech for Good.,06/20/2024 14:00,06/20/2024 15:00,America/Chicago,Virtual,Chaifetz Arena,St. Louis,MO,USA,Chaifetz School of Business,chaifetz-events@slu.edu,361,1,164,153,4.5
845,88ecc06f-90de-4e0a-9ea4-babcd758476a,Meetup 0845 • Resume & Interview Mastery,Meetup,Resume & Interview Mastery,Join us for a meetup on Resume & Interview Mastery.,09/08/2025 18:00,09/08/2025 22:00,America/Chicago,In-person,Chaifetz Arena,St. Louis,MO,USA,Chaifetz School of Business,chaifetz-events@slu.edu,84,0,65,61,3.52
846,f9dae86e-383f-4329-be4b-391b90066cba,Networking Night 0846 • Graduate School Pathways,Networking Night,Graduate School Pathways,Join us for a networking night on Graduate School Pathways.,06/25/2024 18:00,06/26/2024 00:00,America/New_York,Virtual,Data Science Hub,Seattle,WA,USA,School of Science & Engineering,sse-events@slu.edu,312,0,154,134,4.27
847,45e5f828-f6f4-43fc-ba5b-cc22692f30f7,Meetup 0847 • Cybersecurity Trends,Meetup,Cybersecurity Trends,Join us for a meetup on Cybersecurity Trends.,10/01/2026 14:00,10/01/2026 22:00,America/Chicago,Virtual,Virtual Stage,Online,NA,USA,Cybersecurity Center,cybercenter@slu.edu,51,1,36,28,4.05
848,b088a17f-5840-4549-bf7c-a40c37751961,Career Fair 0848 • Graduate School Pathways,Career Fair,Graduate School Pathways,Join us for a career fair on Graduate School Pathways.,03/28/2020 18:00,03/29/2020 02:00,America/Los_Angeles,Hybrid,Busch Student Center,St. Louis,MO,USA,Alumni Office,alumni@slu.edu,907,1,305,200,4.59
849,e0f472fc-6420-409f-bd27-6eb6d1871b1f,Webinar 0849 • Networking with Employers,Webinar,Networking with Employers,Join us for a webinar on Networking with Employers.,03/18/2025 18:00,03/18/2025 20:00,America/Chicago,Virtual,Alumni Center,Boston,MA,USA,Career Services,careerservices@slu.edu,703,1,659,441,4.61
850,1567c134-8939-48cf-9a7a-5d5322a0d967,Webinar 0850 • Tech for Good,Webinar,Tech for Good,Join us for a webinar on Tech for Good.,10/20/2024 18:00,10/20/2024 22:00,America/New_York,Virtual,Data Science Hub,Seattle,WA,USA,Chaifetz School of Business,chaifetz-events@slu.edu,331,1,211,131,4.47
851,1d1d76be-868b-4626-b571-1c2f28e0f835,Hackathon 0851 • Product & Project Management,Hackathon,Product & Project Management,Join us for a hackathon on Product & Project Management.,05/28/2022 18:00,05/28/2022 21:00,America/Los_Angeles,In-person,Busch Student Center,St. Louis,MO,USA,Data Science Institute,dsi@slu.edu,325,1,312,292,4.26
852,22dc28de-9cfc-4f48-9290-2a408a7a5cc2,Workshop 0852 • Tech for Good,Workshop,Tech for Good,Join us for a workshop on Tech for Good.,09/06/2023 14:00,09/06/2023 16:00,America/Los_Angeles,Virtual,Busch Student Center,St. Louis,MO,USA,Chaifetz School of Business,chaifetz-events@slu.edu,73,1,43,25,4.51
853,3ab5e754-211e-4797-8654-d25d7868f8c3,Networking Night 0853 • Graduate School Pathways,Networking Night,Graduate School Pathways,Join us for a networking night on Graduate School Pathways.,01/02/2026 18:00,01/02/2026 19:00,America/Los_Angeles,Virtual,Career Services Hall,Chicago,IL,USA,Career Services,careerservices@slu.edu,213,0,131,116,3.65
854,fd448e29-55fe-480c-9b49-85a93a871f98,Hackathon 0854 • Graduate School Pathways,Hackathon,Graduate School Pathways,Join us for a hackathon on Graduate School Pathways.,12/17/2023 14:00,12/17/2023 16:00,America/Los_Angeles,Hybrid,Global Webinar Room,Online,NA,USA,Cybersecurity Center,cybercenter@slu.edu,106,1,86,53,4.95
855,27295a5c-a37d-47ea-99bb-b79cb5a157e4,Webinar 0855 • Entrepreneurship,Webinar,Entrepreneurship,Join us for a webinar on Entrepreneurship.,12/25/2022 18:00,12/26/2022 02:00,America/New_York,In-person,Busch Student Center,St. Louis,MO,USA,Career Services,careerservices@slu.edu,488,1,475,430,3.53
856,3cd34383-0061-4a98-b6c3-eb507adb309e,Hackathon 0856 • Cloud & DevOps Pathways,Hackathon,Cloud & DevOps Pathways,Join us for a hackathon on Cloud & DevOps Pathways.,09/30/2020 10:00,09/30/2020 13:00,America/New_York,In-person,Chaifetz Arena,St. Louis,MO,USA,Chaifetz School of Business,chaifetz-events@slu.edu,89,1,87,69,3.73
857,f9c9ae41-1807-426c-b2af-17178c83767e,Meetup 0857 • Graduate School Pathways,Meetup,Graduate School Pathways,Join us for a meetup on Graduate School Pathways.,12/28/2026 18:00,12/28/2026 19:00,America/New_York,Virtual,Alumni Center,Boston,MA,USA,Cybersecurity Center,cybercenter@slu.edu,102,1,56,56,4.52
858,a9378a34-f436-45d0-a6da-d05435ea3bc9,Hackathon 0858 • AI & Data Analytics Careers,Hackathon,AI & Data Analytics Careers,Join us for a hackathon on AI & Data Analytics Careers.,04/03/2024 10:00,04/03/2024 11:00,America/New_York,In-person,Busch Student Center,St. Louis,MO,USA,Data Science Institute,dsi@slu.edu,223,1,121,103,4.4
859,0865ded1-8b7b-4e78-a0f1-361025d03c1e,Networking Night 0859 • Tech for Good,Networking Night,Tech for Good,Join us for a networking night on Tech for Good.,01/20/2024 14:00,01/20/2024 17:00,America/New_York,Virtual,Chaifetz Arena,St. Louis,MO,USA,Alumni Office,alumni@slu.edu,312,0,208,201,4.09
860,8a293d85-766d-4265-9b03-241fdc0b15f3,Hackathon 0860 • Consulting Case Prep,Hackathon,Consulting Case Prep,Join us for a hackathon on Consulting Case Prep.,10/20/2026 14:00,10/20/2026 16:00,America/Los_Angeles,Hybrid,Alumni Center,Boston,MA,USA,Cybersecurity Center,cybercenter@slu.edu,104,1,93,65,4.47
861,d36f1666-8227-4b74-8091-1c977c29b80f,Career Fair 0861 • Product & Project Management,Career Fair,Product & Project Management,Join us for a career fair on Product & Project Management.,04/18/2025 10:00,04/18/2025 12:00,America/New_York,In-person,Data Science Hub,Seattle,WA,USA,Alumni Office,alumni@slu.edu,1193,1,620,580,4.1
862,93e05b0d-0e02-46ef-a558-09fb60900f9a,Panel 0862 • Networking with Employers,Panel,Networking with Employers,Join us for a panel on Networking with Employers.,12/15/2022 18:00,12/15/2022 22:00,America/Los_Angeles,In-person,Busch Student Center,St. Louis,MO,USA,School of Science & Engineering,sse-events@slu.edu,170,1,143,96,3.76
863,7a1433e5-aedb-4195-9f3a-efd03e3566dc,Webinar 0863 • Networking with Employers,Webinar,Networking with Employers,Join us for a webinar on Networking with Employers.,10/25/2023 18:00,10/26/2023 00:00,America/New_York,In-person,Data Science Hub,Seattle,WA,USA,School of Science & Engineering,sse-events@slu.edu,253,1,192,116,4.86
864,175e1cfb-7f6a-48a8-abf0-626ba74ef409,Webinar 0864 • Product & Project Management,Webinar,Product & Project Management,Join us for a webinar on Product & Project Management.,08/26/2021 10:00,08/26/2021 11:00,America/Los_Angeles,Virtual,Tech Innovation Lab,Austin,TX,USA,Data Science Institute,dsi@slu.edu,746,1,477,325,4.09
865,7e8fceb2-80cf-4333-9b05-17184ffeedec,Panel 0865 • Resume & Interview Mastery,Panel,Resume & Interview Mastery,Join us for a panel on Resume & Interview Mastery.,08/30/2026 10:00,08/30/2026 13:00,America/Chicago,Hybrid,Chaifetz Arena,St. Louis,MO,USA,Chaifetz School of Business,chaifetz-events@slu.edu,150,1,72,53,4.63
866,a2eee70e-6146-42e0-9c8a-04fe71dddbd4,Webinar 0866 • Cybersecurity Trends,Webinar,Cybersecurity Trends,Join us for a webinar on Cybersecurity Trends.,01/13/2025 18:00,01/14/2025 02:00,America/Los_Angeles,Virtual,Data Science Hub,Seattle,WA,USA,Cybersecurity Center,cybercenter@slu.edu,278,1,232,231,4.02
867,80f287f0-eaf8-4a58-89ae-11f19517ba0f,Guest Lecture 0867 • Product & Project Management,Guest Lecture,Product & Project Management,Join us for a guest lecture on Product & Project Management.,02/26/2026 18:00,02/27/2026 00:00,America/New_York,Virtual,Chaifetz Arena,St. Louis,MO,USA,Cybersecurity Center,cybercenter@slu.edu,269,1,260,231,4.01
868,48f9550b-281e-434c-9797-3a8f979e28c6,Workshop 0868 • Resume & Interview Mastery,Workshop,Resume & Interview Mastery,Join us for a workshop on Resume & Interview Mastery.,12/03/2026 14:00,12/03/2026 18:00,America/Chicago,Virtual,Data Science Hub,Seattle,WA,USA,Alumni Office,alumni@slu.edu,67,1,35,33,4.25
869,d8e526f4-79cc-4f2b-895e-c6d469cf490b,Hackathon 0869 • Networking with Employers,Hackathon,Networking with Employers,Join us for a hackathon on Networking with Employers.,04/17/2024 14:00,04/17/2024 18:00,America/Los_Angeles,Virtual,Career Services Hall,Chicago,IL,USA,Data Science Institute,dsi@slu.edu,297,1,140,94,4.93
870,18e1873b-20c6-4c9e-a3d0-2446b405fca0,Webinar 0870 • Cybersecurity Trends,Webinar,Cybersecurity Trends,Join us for a webinar on Cybersecurity Trends.,06/02/2023 14:00,06/02/2023 16:00,America/Los_Angeles,In-person,Global Webinar Room,Online,NA,USA,School of Science & Engineering,sse-events@slu.edu,328,1,128,97,3.84
871,71c92aba-6543-444e-a8c5-c43fa4d4f091,Career Fair 0871 • AI & Data Analytics Careers,Career Fair,AI & Data Analytics Careers,Join us for a career fair on AI & Data Analytics Careers.,09/21/2026 10:00,09/21/2026 14:00,America/Los_Angeles,In-person,Alumni Center,Boston,MA,USA,Chaifetz School of Business,chaifetz-events@slu.edu,798,1,480,361,3.71
872,926e4a2a-054d-4416-82a8-f8ca46f538ce,Networking Night 0872 • AI & Data Analytics Careers,Networking Night,AI & Data Analytics Careers,Join us for a networking night on AI & Data Analytics Careers.,04/28/2022 14:00,04/28/2022 15:00,America/Los_Angeles,Hybrid,Global Webinar Room,Online,NA,USA,Chaifetz School of Business,chaifetz-events@slu.edu,303,1,105,104,3.53
873,b69f3f1c-8017-438e-81d2-7c744b53d6d0,Guest Lecture 0873 • Product & Project Management,Guest Lecture,Product & Project Management,Join us for a guest lecture on Product & Project Management.,01/06/2025 14:00,01/06/2025 18:00,America/Chicago,Virtual,Alumni Center,Boston,MA,USA,Data Science Institute,dsi@slu.edu,210,1,196,133,4.37
874,ccc82204-fb9c-4a38-8d62-73d6c9f94937,Webinar 0874 • Resume & Interview Mastery,Webinar,Resume & Interview Mastery,Join us for a webinar on Resume & Interview Mastery.,10/09/2023 10:00,10/09/2023 12:00,America/Los_Angeles,Hybrid,Alumni Center,Boston,MA,USA,Chaifetz School of Business,chaifetz-events@slu.edu,773,1,298,245,4.95
875,a2886363-5fc2-4c9c-a3f9-ece58e4757d8,Webinar 0875 • Cloud & DevOps Pathways,Webinar,Cloud & DevOps Pathways,Join us for a webinar on Cloud & DevOps Pathways.,03/28/2023 14:00,03/28/2023 22:00,America/Chicago,In-person,Chaifetz Arena,St. Louis,MO,USA,Alumni Office,alumni@slu.edu,553,1,291,207,3.85
876,ec6bdd1b-7c98-48e1-9352-1f1ad2c46bdc,Career Fair 0876 • Graduate School Pathways,Career Fair,Graduate School Pathways,Join us for a career fair on Graduate School Pathways.,10/16/2026 18:00,10/16/2026 21:00,America/New_York,Virtual,Tech Innovation Lab,Austin,TX,USA,Career Services,careerservices@slu.edu,624,1,327,213,4.23
877,8334c6ae-7d30-4a7b-898f-3a0c29be7de2,Panel 0877 • AI & Data Analytics Careers,Panel,AI & Data Analytics Careers,Join us for a panel on AI & Data Analytics Careers.,04/26/2025 18:00,04/27/2025 00:00,America/Chicago,Virtual,Data Science Hub,Seattle,WA,USA,Chaifetz School of Business,chaifetz-events@slu.edu,151,1,135,100,4.4
878,1ffb6f5b-85d9-45cd-b0e2-b774f5bb322f,Career Fair 0878 • Cloud & DevOps Pathways,Career Fair,Cloud & DevOps Pathways,Join us for a career fair on Cloud & DevOps Pathways.,03/09/2021 10:00,03/09/2021 11:00,America/Chicago,Virtual,Tech Innovation Lab,Austin,TX,USA,Chaifetz School of Business,chaifetz-events@slu.edu,1267,1,1225,1124,3.68
879,905a2df5-3575-47b3-afa1-1103861c4de0,Workshop 0879 • Product & Project Management,Workshop,Product & Project Management,Join us for a workshop on Product & Project Management.,06/12/2023 14:00,06/12/2023 20:00,America/Los_Angeles,Hybrid,Virtual Stage,Online,NA,USA,Data Science Institute,dsi@slu.edu,39,1,12,10,4.04
880,6f2b8cc4-593e-4e45-abb0-04d508aacf74,Meetup 0880 • Networking with Employers,Meetup,Networking with Employers,Join us for a meetup on Networking with Employers.,07/02/2025 18:00,07/03/2025 02:00,America/New_York,Hybrid,Busch Student Center,St. Louis,MO,USA,Cybersecurity Center,cybercenter@slu.edu,142,1,88,54,3.93
881,a66c7931-7736-4196-a68c-253a279f1241,Webinar 0881 • Consulting Case Prep,Webinar,Consulting Case Prep,Join us for a webinar on Consulting Case Prep.,04/20/2020 18:00,04/20/2020 20:00,America/Chicago,In-person,Alumni Center,Boston,MA,USA,Career Services,careerservices@slu.edu,512,1,338,272,3.93
882,f303dd16-4b6a-470f-9d34-e628bea6ee4b,Networking Night 0882 • Graduate School Pathways,Networking Night,Graduate School Pathways,Join us for a networking night on Graduate School Pathways.,04/06/2025 18:00,04/06/2025 21:00,America/Chicago,Hybrid,Virtual Stage,Online,NA,USA,School of Science & Engineering,sse-events@slu.edu,381,1,169,168,4.63
883,705f1174-4762-4ebe-98ad-f2c9fb503752,Networking Night 0883 • Graduate School Pathways,Networking Night,Graduate School Pathways,Join us for a networking night on Graduate School Pathways.,04/26/2023 10:00,04/26/2023 18:00,America/New_York,In-person,Tech Innovation Lab,Austin,TX,USA,Alumni Office,alumni@slu.edu,326,0,242,186,4.84
884,2c8ed244-e7ce-4037-a778-814368e7419f,Webinar 0884 • Networking with Employers,Webinar,Networking with Employers,Join us for a webinar on Networking with Employers.,09/13/2023 14:00,09/13/2023 15:00,America/Chicago,Hybrid,Virtual Stage,Online,NA,USA,Data Science Institute,dsi@slu.edu,589,1,567,560,4.21
885,e3eee4f9-36d8-4fb9-9a06-10a39ff6acc9,Guest Lecture 0885 • Cybersecurity Trends,Guest Lecture,Cybersecurity Trends,Join us for a guest lecture on Cybersecurity Trends.,09/04/2021 18:00,09/05/2021 02:00,America/Los_Angeles,In-person,Global Webinar Room,Online,NA,USA,School of Science & Engineering,sse-events@slu.edu,217,1,206,142,3.64
886,99279100-61fa-4a79-abd4-b68ce3269fcb,Panel 0886 • Graduate School Pathways,Panel,Graduate School Pathways,Join us for a panel on Graduate School Pathways.,12/10/2022 18:00,12/11/2022 02:00,America/Chicago,Hybrid,Virtual Stage,Online,NA,USA,Chaifetz School of Business,chaifetz-events@slu.edu,106,1,59,41,3.6
887,7f66e5e2-150c-4d1f-b138-2775da86e66c,Workshop 0887 • Product & Project Management,Workshop,Product & Project Management,Join us for a workshop on Product & Project Management.,01/01/2026 14:00,01/01/2026 16:00,America/New_York,Hybrid,Career Services Hall,Chicago,IL,USA,Alumni Office,alumni@slu.edu,110,1,49,49,3.76
888,3cb7e204-2911-41b1-b611-bb3eaca5c937,Meetup 0888 • Cloud & DevOps Pathways,Meetup,Cloud & DevOps Pathways,Join us for a meetup on Cloud & DevOps Pathways.,05/03/2021 10:00,05/03/2021 14:00,America/New_York,Hybrid,Career Services Hall,Chicago,IL,USA,Career Services,careerservices@slu.edu,181,1,69,54,4.98
